Fauda, (2015), 8.3 based on 30_202 user ratings, https://www.imdb.com/title/tt4565380/, https://m.media-amazon.com/images/M/MV5BZTk5OTU5Y2EtY2M1NC00N2E5LWJlMTMtODgzMDc2NDk1MTczXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_UY67_CR1,0,45,67_AL_.jpg
Breaking Bad, (2008), 9.5 based on 1_915_309 user ratings, https://www.imdb.com/title/tt0903747/, https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_UY67_CR0,0,45,67_AL_.jpg
Vikings: Valhalla, (2022), 7.3 based on 47_161 user ratings, https://www.imdb.com/title/tt11311302/, https://m.media-amazon.com/images/M/MV5BMmZlYTQ3NjQtZmIxNC00MzA4LTg1NDgtMmEzODk0MzA4NjQxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg
Happy Valley, (2014), 8.5 based on 46_063 user ratings, https://www.imdb.com/title/tt3428912/, https://m.media-amazon.com/images/M/MV5BNTBmYTQ5ZDYtM2NjMC00M2Q2LTg4NDAtODUxZTk0ZmFjMGVjXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_UY67_CR2,0,45,67_AL_.jpg
Criminal Minds, (2005), 8.1 based on 202_537 user ratings, https://www.imdb.com/title/tt0452046/, https://m.media-amazon.com/images/M/MV5BZWVjZWUyMzUtMGRiMS00MzhkLWI5NTQtYjBmZWVlZThjZjFkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX45_CR0,0,45,67_AL_.jpg
Kaleidoscope, (2023), 6.7 based on 31_257 user ratings, https://www.imdb.com/title/tt15438246/, https://m.media-amazon.com/images/M/MV5BZGYzMTg2MzktOTc3Yi00ZThlLTkxN2MtY2YxNGE1MWNiYmMxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR0,0,45,67_AL_.jpg
Mayor of Kingstown, (2021), 8.2 based on 29_615 user ratings, https://www.imdb.com/title/tt11712058/, https://m.media-amazon.com/images/M/MV5BZGI2MDUxMGEtMWU4OS00ZjY2LTk5ZWUtNGVmMjRkNGI3NzBjXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg
Your Honor, (2020), 7.6 based on 50_897 user ratings, https://www.imdb.com/title/tt7440726/, https://m.media-amazon.com/images/M/MV5BNTIxMmJlNzAtZTQ3NC00MjIyLTk4YTUtNmNlNzNjMzYzZWFiXkEyXkFqcGdeQXVyMTUyMTU1MDg1._V1_UX45_CR0,0,45,67_AL_.jpg
The Legend of Vox Machina, (2022), 8.4 based on 28_797 user ratings, https://www.imdb.com/title/tt11247158/, https://m.media-amazon.com/images/M/MV5BYzJjZDkxMDgtZDBkNC00ZGJlLTk0NzgtZDhjZGIxZDAzZDY2XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg
Women at War, (2022), 7.5 based on 1_960 user ratings, https://www.imdb.com/title/tt14579330/, https://m.media-amazon.com/images/M/MV5BYzU3YmRhZTMtNDYyYS00YzQxLTgyZjAtN2E0NmI0Njc5NGIzXkEyXkFqcGdeQXVyMTM5NDQ2NjMw._V1_UX45_CR0,0,45,67_AL_.jpg
